timestamp,radar_adc
0,2136
1,2049
2,2058
3,2062
4,2135
5,2170
6,2129
7,2031
8,2194
9,2100
10,2044
11,2203
12,2113
13,2116
14,2142
15,2231
16,2181
17,2220
18,2230
19,2129
20,2190
21,2178
22,2299
23,2148
24,2164
25,2353
26,2293
27,2228
28,2223
29,2258
30,2253
31,2262
32,2271
33,2313
34,2329
35,2259
36,2337
37,2267
38,2283
39,2314
40,2343
41,2328
42,2343
43,2315
44,2425
45,2362
46,2453
47,2430
48,2447
49,2328
50,2470
51,2321
52,2363
53,2436
54,2383
55,2500
56,2353
57,2393
58,2504
59,2349
60,2503
61,2421
62,2471
63,2497
64,2558
65,2439
66,2493
67,2415
68,2521
69,2543
70,2422
71,2482
72,2554
73,2473
74,2452
75,2562
76,2391
77,2540
78,2420
79,2530
80,2567
81,2439
82,2375
83,2367
84,2428
85,2496
86,2544
87,2454
88,2475
89,2465
90,2492
91,2542
92,2531
93,2389
94,2355
95,2425
96,2472
97,2376
98,2337
99,2327
100,2480
101,2418
102,2387
103,2478
104,2306
105,2315
106,2449
107,2420
108,2295
109,2461
110,2422
111,2358
112,2425
113,2340
114,2291
115,2272
116,2434
117,2334
118,2254
119,2305
120,2358
121,2211
122,2381
123,2310
124,2246
125,2224
126,2357
127,2264
128,2260
129,2156
130,2300
131,2299
132,2307
133,2248
134,2267
135,2278
136,2174
137,2176
138,2210
139,2079
140,2144
141,2062
142,2140
143,2220
144,2041
145,2122
146,2199
147,2052
148,2071
149,2008
150,2120
151,2035
152,2034
153,1989
154,2085
155,2057
156,1980
157,1923
158,1988
159,1962
160,1899
161,1965
162,2056
163,2045
164,2063
165,1923
166,1933
167,1923
168,1872
169,1971
170,1839
171,1941
172,1886
173,1949
174,1947
175,1878
176,1940
177,1924
178,1929
179,1897
180,1882
181,1901
182,1861
183,1892
184,1794
185,1727
186,1897
187,1796
188,1898
189,1822
190,1706
191,1830
192,1788
193,1723
194,1699
195,1870
196,1740
197,1829
198,1665
199,1670
200,1673
201,1654
202,1649
203,1701
204,1664
205,1702
206,1757
207,1798
208,1791
209,1796
210,1706
211,1736
212,1655
213,1683
214,1659
215,1768
216,1725
217,1758
218,1791
219,1664
220,1695
221,1630
222,1719
223,1722
224,1741
225,1788
226,1718
227,1756
228,1666
229,1665
230,1656
231,1684
232,1814
233,1804
234,1731
235,1828
236,1830
237,1681
238,1811
239,1722
240,1798
241,1832
242,1692
243,1663
244,1763
245,1810
246,1790
247,1839
248,1678
249,1838
250,1748
251,1786
252,1781
253,1740
254,1733
255,1803
256,1734
257,1919
258,1766
259,1862
260,1867
261,1782
262,1839
263,1788
264,1935
265,1807
266,1964
267,1808
268,1925
269,1992
270,1809
271,1930
272,1897
273,1902
274,1997
275,1896
276,1933
277,1967
278,2019
279,2030
280,1975
281,2001
282,1907
283,2019
284,2094
285,1988
286,2010
287,2023
288,1955
289,2082
290,2087
291,2119
292,2066
293,2131
294,2068
295,2034
296,2076
297,2163
298,2211
299,2207
300,2057
301,2214
302,2162
303,2279
304,2127
305,2146
306,2199
307,2206
308,2141
