timestamp,radar_adc
0,1862
1,2335
2,2717
3,2567
4,2463
5,2066
6,1526
7,1552
8,1580
9,1611
10,2176
11,2475
12,2523
13,2369
14,2259
15,2104
16,1957
17,1610
18,1409
19,1649
20,2129
21,2216
22,2305
23,2628
24,2151
25,2095
26,1923
27,1651
28,1893
29,1926
30,1874
31,2019
32,2405
33,2148
34,2078
35,2080
36,1842
37,1724
38,1961
39,2081
40,2157
41,2253
42,2046
43,2208
44,1964
45,2171
46,2080
47,2041
48,2052
49,2158
50,1842
51,2033
52,1865
53,2014
54,1978
55,1920
56,2084
57,2307
58,2134
59,1913
60,2122
61,2028
62,1826
63,1886
64,2136
65,2097
66,2334
67,2124
68,2151
69,2226
70,2173
71,1838
72,1872
73,1860
74,2030
75,1909
76,2158
77,2210
78,2363
79,2179
80,2128
81,1949
82,2019
83,1962
84,2012
85,1887
86,2119
87,2061
88,2268
89,2254
90,1900
91,1986
92,1921
93,2027
94,1933
95,2188
96,2173
97,2108
98,1973
99,2162
100,2198
101,2219
102,2144
103,2048
104,2044
105,1852
106,1803
107,1927
108,1881
109,1854
110,2085
111,2140
112,2181
113,2079
114,2319
115,2008
116,1882
117,2060
118,2002
119,1759
120,2108
121,2348
122,2279
123,2064
124,2331
125,2213
126,2016
127,1865
128,2003
129,2100
130,2242
131,2129
132,2263
133,2122
134,2198
135,2085
136,1955
137,1834
138,1732
139,1901
140,2270
141,2378
142,2088
143,2284
144,2007
145,1755
146,1867
147,1923
148,1875
149,2143
150,2341
151,1988
152,1977
153,1871
154,1951
155,1853
156,1982
157,2222
158,2377
159,2306
160,2255
161,2164
162,1891
163,1816
164,1741
165,1706
166,2056
167,2097
168,2342
169,2275
170,2505
171,2228
172,2058
173,1597
174,1771
175,1895
176,1794
177,2280
178,2379
179,2607
180,2362
181,1940
182,1867
183,1444
184,1590
185,1585
186,2065
187,2145
188,2572
189,2651
190,2499
191,2099
192,1814
193,1731
194,1377
195,1523
196,1848
197,2131
198,2572
199,2586
200,2491
201,2343
202,2049
203,1588
204,1401
205,1780
206,1967
207,2196
208,2437
209,2360
210,2367
211,2056
212,1815
213,1713
214,1556
215,1612
216,1704
217,1958
218,2285
219,2441
220,2312
221,2280
222,1931
223,2022
224,1626
225,1891
226,1793
227,2039
228,2323
229,2319
230,2257
231,2371
232,2177
233,2242
234,2018
235,2031
236,1761
237,1938
238,2124
239,1901
240,2359
241,2325
242,2410
243,2127
244,2041
245,1918
246,1670
247,1849
248,1883
249,1949
250,1902
251,2059
252,2287
253,2136
254,2328
255,2075
256,1932
257,1840
258,1710
259,1895
260,2149
261,2050
262,2122
263,2305
264,2259
265,2079
266,1992
267,1720
268,1675
269,2036
270,1848
271,2085
272,2149
273,2440
274,2336
275,2085
276,2147
277,2041
278,1750
279,2023
280,2160
281,2080
282,2155
283,2060
284,2181
285,2077
286,1882
287,1812
288,2109
289,1849
290,2164
291,2149
292,1867
293,2118
294,2176
295,2077
296,1896
297,2241
298,2139
299,2140
300,2082
301,2064
302,1814
303,2027
304,1730
305,2114
306,2221
307,2148
308,2200
309,2080
310,2253
311,1923
312,1957
313,1801
314,1756
315,2110
316,2026
317,2201
318,2343
319,2406
320,2305
321,2054
322,1918
323,1776
324,1781
325,2142
326,2334
327,2208
328,2509
329,2248
330,2072
331,1775
332,1950
333,1754
334,2004
335,2078
336,2290
337,2190
338,2474
339,2172
340,1887
341,1770
342,1722
343,1972
344,2012
345,2013
346,2117
347,2227
348,2055
349,2135
350,1778
351,1748
352,1914
353,1737
354,2172
355,2285
356,2191
357,2340
358,2302
359,2050
360,1777
361,1620
362,1668
363,2094
364,2227
365,2459
366,2359
367,2304
368,2178
369,1721
370,1766
371,1765
372,1685
373,2045
374,2272
375,2457
376,2366
377,2395
378,2006
379,1889
380,1632
381,1883
382,1749
383,2290
384,2495
385,2597
386,2351
387,2058
