timestamp,radar_adc
0,2055
1,2044
2,2060
3,2087
4,2063
5,2050
6,2092
7,2026
8,2003
9,2036
10,2083
11,2086
12,2016
13,2069
14,2077
15,2090
16,2044
17,2034
18,2097
19,2017
20,2027
21,2038
22,2071
23,2020
24,2096
25,2062
26,2020
27,2030
28,2088
29,2043
30,2010
31,2096
32,2012
33,2096
34,2076
35,2053
36,2046
37,2020
38,2033
39,2076
40,2011
41,1998
42,2045
43,2012
44,2015
45,2022
46,2051
47,2079
48,2002
49,2071
50,2020
51,2056
52,2094
53,2022
54,2022
55,2072
56,2050
57,2073
58,2041
59,2029
60,2034
61,2048
62,2005
63,2075
64,2001
65,2090
66,2035
67,2076
68,2017
69,2065
70,2075
71,2010
72,2065
73,2045
74,2091
75,2026
76,2081
77,2096
78,2019
79,2030
80,2023
81,2051
82,2058
83,2050
84,2049
85,2018
86,2092
87,2023
88,1999
89,2057
90,2015
91,2065
92,2027
93,2031
94,2028
95,2006
96,2082
97,2086
98,2078
99,2020
100,2057
101,2049
102,2088
103,2022
104,2030
105,2001
106,2057
107,2016
108,2089
109,2003
110,2045
111,2004
112,2023
113,2023
114,2027
115,2024
116,2040
117,2003
118,2064
119,2078
120,2050
121,2029
122,2002
123,2044
124,2082
125,2061
126,2049
127,2054
128,2043
129,2055
130,2007
131,2049
132,2019
133,2081
134,2018
135,2041
136,2040
137,1998
138,2046
139,2015
140,2058
141,2041
142,2081
143,2054
144,2040
145,2055
146,2010
147,2001
148,2054
149,2083
150,2020
151,2072
152,2017
153,2045
154,2058
155,2055
156,2066
157,2026
158,2041
159,2066
160,2067
161,2047
162,2034
163,2006
164,2018
165,2073
166,2071
167,2080
168,2036
169,2050
170,2003
171,2070
172,2078
173,2081
174,1998
175,2008
176,2044
177,2064
178,2055
179,2080
180,2074
181,2021
182,2012
183,2079
184,2025
185,2070
186,2045
187,2075
188,2094
189,2003
190,2088
191,2060
192,2083
193,2071
194,2033
195,2081
196,2085
197,2008
198,2020
199,2045
200,2084
201,2003
202,2057
203,2046
204,2044
205,2006
206,2011
207,2030
